entry_time,target_pct,stop_pct,max_hold_days,cohort,scenario,sample_size_valid,sample_size_invalid,win_rate,stop_rate,timeout_rate,expected_value,median_return,max_losing_streak
09:45,0.2,-0.2,2,HEDGE_HIGH_RR,Optimistic,23,5,0.30434782608695654,0.43478260869565216,0.2608695652173913,-0.01729146178769259,-0.09090909090909094,4
09:45,0.2,-0.2,2,HEDGE_HIGH_RR,Stress,23,5,0.13043478260869565,0.5217391304347826,0.34782608695652173,-0.10847792541054328,-0.2065637065637066,5
09:45,0.2,-0.2,2,SCORE_GTE_2,Base,34,13,0.23529411764705882,0.47058823529411764,0.29411764705882354,-0.030430998201675667,-0.15436720142602495,4
09:45,0.2,-0.2,2,SCORE_GTE_2,Optimistic,34,13,0.2647058823529412,0.47058823529411764,0.2647058823529412,-0.027756922563196337,-0.14545454545454542,4
09:45,0.2,-0.2,2,SCORE_GTE_2,Stress,34,13,0.14705882352941177,0.5588235294117647,0.29411764705882354,-0.1152700941698651,-0.20693169645265458,5
09:45,0.2,-0.2,3,HEDGE_HIGH_ATR,Base,5,3,0.2,0.6,0.2,-0.06213507625272326,-0.1999999999999999,3
09:45,0.2,-0.2,3,HEDGE_HIGH_ATR,Optimistic,5,3,0.2,0.6,0.2,-0.0577777777777778,-0.19999999999999996,3
09:45,0.2,-0.2,3,HEDGE_HIGH_ATR,Stress,5,3,0.2,0.6,0.2,-0.15165118718542675,-0.20748299319727886,3
09:45,0.2,-0.2,3,HEDGE_HIGH_RR,Base,23,5,0.34782608695652173,0.4782608695652174,0.17391304347826086,-0.030456750864401427,-0.0405948312046533,5
09:45,0.2,-0.2,3,HEDGE_HIGH_RR,Optimistic,23,5,0.391304347826087,0.4782608695652174,0.13043478260869565,-0.018370233707776386,-0.021406727828746263,4
09:45,0.2,-0.2,3,HEDGE_HIGH_RR,Stress,23,5,0.21739130434782608,0.5652173913043478,0.21739130434782608,-0.11511366112030035,-0.2065637065637066,6
09:45,0.2,-0.2,3,SCORE_GTE_2,Base,34,13,0.29411764705882354,0.5,0.20588235294117646,-0.04196053025107304,-0.16796277833167164,4
09:45,0.2,-0.2,3,SCORE_GTE_2,Optimistic,34,13,0.3235294117647059,0.5,0.17647058823529413,-0.03197621144432979,-0.15932203389830504,4
09:45,0.2,-0.2,3,SCORE_GTE_2,Stress,34,13,0.20588235294117646,0.5882352941176471,0.20588235294117646,-0.11975897420881838,-0.20693169645265458,5
09:45,0.2,-0.25,1,HEDGE_HIGH_ATR,Base,5,3,0.2,0.4,0.4,-0.12684095860566447,-0.25,3
09:45,0.2,-0.25,1,HEDGE_HIGH_ATR,Optimistic,5,3,0.2,0.4,0.4,-0.1201777777777778,-0.25,3
09:45,0.2,-0.25,1,HEDGE_HIGH_ATR,Stress,5,3,0.2,0.4,0.4,-0.17187703752556283,-0.2806122448979591,3
09:45,0.2,-0.25,1,HEDGE_HIGH_RR,Base,23,5,0.08695652173913043,0.30434782608695654,0.6086956521739131,-0.05685355690584671,-0.11255021886430426,5
09:45,0.2,-0.25,1,HEDGE_HIGH_RR,Optimistic,23,5,0.08695652173913043,0.2608695652173913,0.6521739130434783,-0.04611166212151943,-0.09480122324159025,5
09:45,0.2,-0.25,1,HEDGE_HIGH_RR,Stress,23,5,0.043478260869565216,0.30434782608695654,0.6521739130434783,-0.1343201844921373,-0.19605442176870758,6
09:45,0.2,-0.25,1,SCORE_GTE_2,Base,34,13,0.08823529411764706,0.35294117647058826,0.5588235294117647,-0.07088472585749206,-0.13876961442884367,5
09:45,0.2,-0.25,1,SCORE_GTE_2,Optimistic,34,13,0.08823529411764706,0.29411764705882354,0.6176470588235294,-0.05634062435402236,-0.10647186147186151,5
09:45,0.2,-0.25,1,SCORE_GTE_2,Stress,34,13,0.058823529411764705,0.35294117647058826,0.5882352941176471,-0.14543193365386442,-0.2321801761456934,6
09:45,0.2,-0.25,2,HEDGE_HIGH_ATR,Base,5,3,0.2,0.6,0.2,-0.0921350762527233,-0.25,3
09:45,0.2,-0.25,2,HEDGE_HIGH_ATR,Optimistic,5,3,0.2,0.6,0.2,-0.08777777777777779,-0.25,3
09:45,0.2,-0.25,2,HEDGE_HIGH_ATR,Stress,5,3,0.2,0.6,0.2,-0.16627703752556283,-0.2806122448979591,3
